Year,Day,Habitat,Point count number,sex,number,Size
2013,Peak,Slope,9,m,2,s
2013,Peak,Slope,9,m,1,l
2013,Peak,Slope,9,m,1,l
2013,Peak,Slope,9,m,1,l
2013,Peak,Slope,9,m,3,l
2013,Peak,Slope,9,m,1,l
2013,Peak,Slope,10,f,3,s
2013,Peak,Slope,10,f,2,l
2013,Peak,Slope,10,f,1,l
2013,Peak,Slope,10,f,12,s
2013,Peak,Slope,10,f,50,s
2013,Peak,Slope,10,m,2,l
2013,Peak,Slope,10,m,1,l
2013,Peak,Slope,10,m,1,l
2013,Peak,Slope,10,m,1,l
2013,Peak,Slope,10,m,5,l
2013,Peak,Slope,10,m,1,l
2013,Peak,Slope,10,m,2,s
2013,Peak,Slope,10,m,2,s
2013,Peak,Slope,10,m,1,l
2013,Peak,Slope,10,m,1,l
2013,Peak,Slope,10,m,1,l
2013,Peak,Slope,10,m,2,s
2013,Peak,Slope,11,f,2,s
2013,Peak,Slope,11,f,150,s
2013,Peak,Slope,11,f,70,s
2013,Peak,Slope,11,m,2,l
2013,Peak,Slope,11,m,2,l
2013,Peak,Slope,11,m,4,l
2013,Peak,Slope,11,m,2,l
2013,Peak,Slope,11,m,2,l
2013,Peak,Slope,11,m,3,l
2013,Peak,Slope,11,m,2,s
2013,Peak,Slope,11,m,4,l
2013,Peak,Slope,11,m,1,l
2013,Peak-1,shelf,12,f,3,s
2013,Peak-1,shelf,12,f,2,s
2013,Peak-1,shelf,12,f,1,s
2013,Peak-1,shelf,12,m,1,s
2013,Peak-1,shelf,12,m,1,s
2013,Peak-1,shelf,12,m,1,s
2013,Peak-1,shelf,12,m,1,s
2013,Peak-1,shelf,12,m,1,s
2013,Peak-1,shelf,12,m,1,s
2013,Peak-1,shelf,12,m,1,s
2013,Peak-1,shelf,12,m,2,s
2013,Peak-1,shelf,12,m,3,l
2013,Peak-1,shelf,13,f,1,s
2013,Peak-1,shelf,13,f,1,s
2013,Peak-1,shelf,13,f,1,s
2013,Peak-1,shelf,13,m,2,s
2013,Peak-1,shelf,13,m,1,s
2013,Peak-1,shelf,13,m,2,s
2013,Peak-1,shelf,13,m,1,s
2013,Peak-1,shelf,14,f,2,s
2013,Peak-1,shelf,14,f,2,s
2013,Peak-1,shelf,14,m,2,s
2013,Peak-1,shelf,14,m,2,s
2013,Peak-1,shelf,14,m,1,s
2013,Peak-1,shelf,14,m,2,s
2013,Peak-1,shelf,14,m,1,s
2013,Peak-1,shelf,14,m,1,s
2013,Peak-1,shelf,14,m,2,s
2013,Peak-1,shelf,14,m,1,s
2013,Peak-1,shelf,14,m,5,s
2013,Peak-1,shelf,14,m,1,s
2013,Peak-1,shelf,15,f,10,s
2013,Peak-1,shelf,15,m,3,s
2013,Peak-1,shelf,15,m,1,s
2013,Peak-1,shelf,15,m,1,s
2013,Peak-1,shelf,15,m,3,s
2013,Peak-1,shelf,15,m,1,s
2013,Peak-1,shelf,15,m,1,s
2013,Peak-1,shelf,15,m,2,l
2013,Peak-1,shelf,15,m,1,s
2013,Peak-1,shelf,15,m,1,s
2013,Peak-1,shelf,15,m,3,s
2013,Peak-1,shelf,15,m,3,s
2013,Peak-1,shelf,15,m,1,s
2013,Peak-1,shelf,15,m,2,s
2013,Peak-1,shelf,15,m,1,s
2013,Peak-1,shelf,15,m,1,s
2013,Peak-1,shelf,15,m,1,l
2013,Peak-1,shelf,15,m,1,l
2013,Peak-1,shelf,15,m,1,s
2013,Peak-1,shelf,15,m,1,s
2013,Peak-1,shelf,16,f,2,s
2013,Peak-1,shelf,16,f,1,l
2013,Peak-1,shelf,16,m,4,s
2013,Peak-1,shelf,16,m,2,s
2013,Peak-1,shelf,16,m,2,s
2013,Peak-1,shelf,16,m,1,l
2013,Peak-1,shelf,16,m,1,l
2013,Peak-1,shelf,16,m,2,s
2013,Peak-1,shelf,16,m,1,s
2013,Peak-1,shelf,16,m,2,s
2013,Peak-1,shelf,16,m,1,s
2013,Peak-1,shelf,16,m,2,s
2013,Peak-1,shelf,16,m,2,s
2013,Peak-1,shelf,16,m,2,s
2013,Peak-1,shelf,16,m,2,s
2013,Peak-1,shelf,17,f,3,s
2013,Peak-1,shelf,17,f,3,s
2013,Peak-1,shelf,17,f,15,s
2013,Peak-1,shelf,17,f,35,s
2013,Peak-1,shelf,17,m,1,s
2013,Peak-1,shelf,17,m,1,l
2013,Peak-1,shelf,17,m,1,l
2013,Peak-1,shelf,17,m,2,s
2013,Peak-1,shelf,17,m,1,l
2013,Peak-1,shelf,17,m,1,s
2013,Peak-1,shelf,17,m,1,s
2013,Peak-1,shelf,17,m,2,s
2013,Peak-1,shelf,17,m,2,s
2013,Peak-1,shelf,17,m,2,s
2013,Peak-1,shelf,17,m,1,s
2013,Peak-1,shelf,17,m,1,s
2013,Peak-1,shelf,17,m,1,l
2013,Peak-1,shelf,17,m,1,s
2013,Peak-1,shelf,17,m,3,l
2013,Peak-1,shelf,17,m,2,s
2013,Peak-1,shelf,17,m,2,s
2013,Peak-1,shelf,17,m,1,s
2013,Peak-1,shelf,17,m,4,l
2013,Peak-1,shelf,17,m,1,s
2013,Peak-1,shelf,17,m,1,s
2013,Peak-1,shelf,17,m,2,l
2013,Peak-1,shelf,17,m,2,s
2013,Peak-1,shelf,17,m,1,s
2013,Peak-1,shelf,17,m,2,s
2013,Peak-1,shelf,17,m,2,l
2013,Peak-1,shelf,17,m,4,l
2013,Peak-1,shelf,17,m,1,l
2013,Peak-1,Slope,18,f,1,s
2013,Peak-1,Slope,18,f,2,l
2013,Peak-1,Slope,18,f,1,l
2013,Peak-1,Slope,18,f,7,s
2013,Peak-1,Slope,18,m,2,l
2013,Peak-1,Slope,18,m,2,s
2013,Peak-1,Slope,18,m,1,s
2013,Peak-1,Slope,18,m,1,s
2013,Peak-1,Slope,18,m,1,s
2013,Peak-1,Slope,18,m,1,s
2013,Peak-1,Slope,18,m,1,l
2013,Peak-1,Slope,18,m,1,l
2013,Peak-1,Slope,18,m,1,l
2013,Peak-1,Slope,18,m,1,l
2013,Peak-1,Slope,18,m,1,l
2013,Peak-1,Slope,18,m,2,s
2013,Peak-1,Slope,18,m,1,l
2013,Peak-1,Slope,19,f,25,s
2013,Peak-1,Slope,19,f,1,l
2013,Peak-1,Slope,19,m,1,l
2013,Peak-1,Slope,19,m,1,l
2013,Peak-1,Slope,19,m,2,l
2013,Peak-1,Slope,19,m,2,s
2013,Peak-1,Slope,19,m,1,l
2013,Peak-1,Slope,19,m,1,l
2013,Peak-1,Slope,19,m,1,s
2013,Peak-1,Slope,19,m,2,l
2013,Peak-1,Slope,19,m,2,l
2013,Peak-1,Slope,19,m,5,l
2013,Peak-1,Slope,19,m,1,s
2013,Peak-1,Slope,20,f,45,s
2013,Peak-1,Slope,20,f,2,s
2013,Peak-1,Slope,20,m,1,s
2013,Peak-1,Slope,20,m,1,s
2013,Peak-1,Slope,20,m,1,s
2013,Peak-1,Slope,20,m,4,l
2013,Peak-1,Slope,20,m,1,s
2013,Peak-1,Slope,20,m,6,l
2013,Peak-1,Slope,20,m,1,l
2013,Peak-1,Slope,20,m,1,l
2013,Peak-1,Slope,20,m,2,s
2013,Peak-1,Slope,20,m,1,l
2013,Peak-1,Slope,20,m,1,l
2013,Peak-1,Slope,20,m,2,l
2013,Peak-1,Slope,20,m,3,l
2013,Peak-1,Slope,20,m,2,s
2013,Peak-1,Slope,20,m,1,l
2013,Peak-1,Slope,20,m,1,l
2013,Peak-1,Slope,20,m,2,l
2013,Peak-1,Slope,20,m,1,l
2013,Peak-1,Slope,20,m,1,s
2013,Peak-1,Slope,21,f,2,s
2013,Peak-1,Slope,21,f,1,l
2013,Peak-1,Slope,21,f,2,l
2013,Peak-1,Slope,21,f,3,s
2013,Peak-1,Slope,21,f,15,l
2013,Peak-1,Slope,21,m,1,s
2013,Peak-1,Slope,21,m,1,s
2013,Peak-1,Slope,21,m,1,s
2013,Peak-1,Slope,21,m,1,s
2013,Peak-1,Slope,21,m,1,s
2013,Peak-1,Slope,21,m,1,l
2013,Peak-1,Slope,21,m,1,l
2013,Peak-1,Slope,21,m,1,l
2013,Peak-1,Slope,21,m,1,l
2013,Peak-1,Slope,21,m,2,l
2013,Peak-1,Slope,21,m,2,s
2013,Peak-1,Slope,21,m,1,s
2013,Peak-1,Slope,21,m,1,s
2013,Peak-1,Slope,21,m,1,l
2013,Peak-1,Slope,22,f,25,s
2013,Peak-1,Slope,22,m,2,s
2013,Peak-1,Slope,22,m,3,l
2013,Peak-1,Slope,22,m,1,l
2013,Peak-1,Slope,22,m,2,l
2013,Peak-1,Slope,22,m,2,l
2013,Peak-1,Slope,22,m,2,l
2013,Peak-1,Slope,22,m,2,l
2013,Peak-1,Slope,22,m,3,l
2013,Peak-1,Slope,22,m,1,l
2013,Peak-1,Slope,22,m,7,l
2013,Peak-1,Slope,22,m,3,l
2013,Peak-1,Slope,22,m,3,l
2013,Peak-1,Slope,22,m,2,l
2013,Peak-1,Slope,22,m,2,l
2013,Peak-1,Slope,22,m,6,l
2013,Peak-1,Slope,22,m,1,l
2014,Peak-1,shelf,23,f,2,l
2014,Peak-1,shelf,23,f,2,s
2014,Peak-1,shelf,23,f,1,l
2014,Peak-1,shelf,23,f,3,l
