Year,ID,habitat,sec,State,new.state
2014,30.sh.06,shelf,8,Movement,Rove
2014,30.sh.06,shelf,5,Interaction,Aggression
2014,30.sh.06,shelf,9,Movement,Rove
2014,30.sh.06,shelf,4,Interaction,Aggression
2014,30.sh.06,shelf,56,Movement,Rest
2014,30.sh.08,shelf,51,Movement,Rove
2014,30.sh.08,shelf,3,Interaction,Aggression
2014,30.sh.08,shelf,115,Movement,Rest
2014,30.sh.08,shelf,11,Movement,Rest
2014,30.sh.07,shelf,7,Movement,Rest
2014,30.sh.07,shelf,4,Movement,Rove
2014,30.sh.07,shelf,2,Interaction,Aggression
2014,30.sh.07,shelf,40,Movement,Rove
2014,30.sh.07,shelf,4,Interaction,Aggression
2014,30.sh.07,shelf,53,Movement,Rove
2014,30.sh.07,shelf,2,Interaction,Aggression
2014,30.sh.07,shelf,47,Movement,Rove
2014,30.sh.07,shelf,6,Interaction,Aggression
2014,30.sh.07,shelf,15,Movement,Rove
2014,30.sh.09,shelf,31,Movement,Rove
2014,30.sh.09,shelf,2,Interaction,Aggression
2014,30.sh.09,shelf,34,Movement,Rove
2014,30.sh.09,shelf,4,Interaction,Aggression
2014,30.sh.09,shelf,18,Movement,Rove
2014,30.sh.09,shelf,13,Interaction,Aggression
2014,30.sh.09,shelf,45,Movement,Rove
2014,30.sh.09,shelf,9,Movement,Rest
2014,30.sh.09,shelf,24,Movement,Rove
2014,30.sh.10,shelf,22,Movement,Rove
2014,30.sh.10,shelf,3,Interaction,Aggression
2014,30.sh.10,shelf,2,Movement,Rove
2014,30.sh.10,shelf,3,Interaction,Aggression
2014,30.sh.10,shelf,24,Movement,Rove
2014,30.sh.10,shelf,2,Interaction,Aggression
2014,30.sh.10,shelf,18,Movement,Rove
2014,30.sh.10,shelf,5,Interaction,Aggression
2014,30.sh.10,shelf,12,Movement,Rove
2014,30.sh.10,shelf,5,Interaction,Aggression
2014,30.sh.10,shelf,31,Movement,Rove
2014,30.sh.10,shelf,11,Interaction,Aggression
2014,30.sh.10,shelf,33,Movement,Rest
2014,30.sh.10,shelf,9,Movement,Rove
2014,30.sh.11,shelf,54,Movement,Rove
2014,30.sh.11,shelf,3,Interaction,Aggression
2014,30.sh.11,shelf,51,Movement,Rove
2014,30.sh.11,shelf,2,Interaction,Aggression
2014,30.sh.11,shelf,70,Movement,Rest
2014,30.sh.12,shelf,8,Movement,Rest
2014,30.sh.12,shelf,11,Movement,Rove
2014,30.sh.12,shelf,11,Interaction,Aggression
2014,30.sh.12,shelf,17,Movement,Rove
2014,30.sh.12,shelf,2,Interaction,Aggression
2014,30.sh.12,shelf,9,Movement,Rove
2014,30.sh.12,shelf,3,Interaction,Aggression
2014,30.sh.12,shelf,18,Movement,Rove
2014,30.sh.12,shelf,3,Interaction,Aggression
2014,30.sh.12,shelf,4,Movement,Rove
2014,30.sh.12,shelf,2,Interaction,Aggression
2014,30.sh.12,shelf,20,Movement,Rove
2014,30.sh.12,shelf,5,Interaction,Aggression
2014,30.sh.12,shelf,11,Movement,Rove
2014,30.sh.12,shelf,2,Interaction,Aggression
2014,30.sh.12,shelf,10,Movement,Rove
2014,30.sh.12,shelf,2,Interaction,Aggression
2014,30.sh.12,shelf,42,Movement,Rove
2014,29.sl.01,slope,104,Movement,Rove
2014,29.sl.01,slope,28,Interaction,Aggression
2014,29.sl.01,slope,36,Movement,Rove
2014,29.sl.01,slope,12,Interaction,Female
2014,29.sl.03,slope,13,Movement,Rest
2014,29.sl.03,slope,2,Movement,Rove
2014,29.sl.03,slope,8,Interaction,Aggression
2014,29.sl.03,slope,33,Movement,Rove
2014,29.sl.03,slope,4,Interaction,Aggression
2014,29.sl.03,slope,15,Movement,Rove
2014,29.sl.03,slope,13,Interaction,Aggression
2014,29.sl.03,slope,28,Movement,Rove
2014,29.sl.03,slope,4,Movement,Rest
2014,29.sl.03,slope,60,Interaction,Aggression
2014,29.sl.04,slope,12,Movement,Rest
2014,29.sl.04,slope,34,Movement,Rove
2014,29.sl.04,slope,5,Movement,Rest
2014,29.sl.04,slope,19,Interaction,Aggression
2014,29.sl.04,slope,15,Movement,Rest
2014,29.sl.04,slope,2,Movement,Rove
2014,29.sl.04,slope,38,Interaction,Aggression
2014,29.sl.04,slope,49,Movement,Rest
2014,29.sl.04,slope,6,Movement,Rove
2014,29.sl.05,slope,111,Movement,Rove
2014,29.sl.05,slope,34,Interaction,Aggression
2014,29.sl.05,slope,5,Movement,Rest
2014,29.sl.05,slope,30,Interaction,Aggression
2014,29.sl.02,slope,38,Interaction,Aggression
2014,29.sl.02,slope,42,Movement,Rove
2014,29.sl.02,slope,3,Interaction,Aggression
2014,29.sl.02,slope,12,Movement,Rove
2014,29.sl.02,slope,35,Interaction,Female
2014,29.sl.02,slope,30,Movement,Rove
2014,29.sl.02,slope,20,Interaction,Aggression
2014,29.sl.07,slope,20,Interaction,Aggression
2014,29.sl.07,slope,4,Movement,Rove
2014,29.sl.07,slope,18,Interaction,Aggression
2014,29.sl.07,slope,15,Movement,Rove
2014,29.sl.07,slope,13,Movement,Rest
2014,29.sl.07,slope,19,Interaction,Female
2014,29.sl.07,slope,46,Movement,Rove
2014,29.sl.07,slope,11,Movement,Rove
2014,29.sl.07,slope,14,Movement,Rest
2014,29.sl.07,slope,5,Movement,Rove
2014,29.sl.07,slope,15,Interaction,Aggression
2014,29.sl.08,slope,37,Movement,Rove
2014,29.sl.08,slope,117,Movement,Rove
2014,29.sl.08,slope,26,Movement,Rove
2014,29.sl.09,slope,31,Movement,Rove
2014,29.sl.09,slope,15,Interaction,Female
2014,29.sl.09,slope,24,Movement,Rove
2014,29.sl.09,slope,29,Movement,Rove
2014,29.sl.09,slope,19,Movement,Rest
2014,29.sl.09,slope,38,Movement,Rove
2014,29.sl.09,slope,8,Movement,Rove
2014,29.sl.09,slope,16,Interaction,Aggression
2014,20.sl.13,slope,15,Interaction,Aggression
2014,20.sl.13,slope,10,Movement,Rove
2014,20.sl.13,slope,16,Interaction,Aggression
2014,20.sl.13,slope,26,Movement,Rove
2014,20.sl.13,slope,22,Interaction,Aggression
2014,20.sl.13,slope,91,Movement,Rove
2014,20.sl.12,slope,24,Movement,Rove
2014,20.sl.12,slope,25,Interaction,Aggression
2014,20.sl.12,slope,8,Movement,Rove
2014,20.sl.12,slope,60,Interaction,Aggression
2014,20.sl.12,slope,16,Movement,Rove
2014,20.sl.12,slope,23,Interaction,Aggression
2014,20.sl.12,slope,24,Movement,Rove
2014,30.sl.01,slope,82,Movement,Rove
2014,30.sl.01,slope,30,Interaction,Female
2014,30.sl.01,slope,2,Interaction,Female
2014,30.sl.01,slope,24,Interaction,Aggression
2014,30.sl.01,slope,19,Movement,Rove
2014,30.sl.01,slope,23,Movement,Rove
2014,30.sl.02,slope,60,Movement,Rest
2014,30.sl.02,slope,22,Interaction,Aggression
2014,30.sl.02,slope,23,Movement,Rest
2014,30.sl.02,slope,36,Movement,Rove
2014,30.sl.02,slope,39,Movement,Rest
2014,30.sl.03,slope,40,Interaction,Aggression
2014,30.sl.03,slope,5,Movement,Rove
2014,30.sl.03,slope,35,Movement,Rest
2014,30.sl.03,slope,23,Interaction,Female
2014,30.sl.03,slope,11,Movement,Rest
2014,30.sl.03,slope,4,Interaction,Female
2014,30.sl.03,slope,16,Movement,Rove
2014,30.sl.03,slope,9,Interaction,Female
2014,30.sl.03,slope,13,Movement,Rove
2014,30.sl.03,slope,14,Interaction,Female
2014,30.sl.03,slope,44,Interaction,Female
2014,30.sl.04,slope,30,Interaction,Aggression
2014,30.sl.04,slope,4,Movement,Rest
2014,30.sl.04,slope,38,Interaction,Aggression
2014,30.sl.04,slope,8,Movement,Rest
2014,30.sl.04,slope,100,Interaction,Aggression
2014,30.sl.05,slope,28,Movement,Rove
2014,30.sl.05,slope,19,Movement,Rest
2014,30.sl.05,slope,55,Movement,Rove
2014,30.sl.05,slope,36,Interaction,Aggression
2014,30.sl.05,slope,42,Movement,Rove
2014,30.sl.06,slope,16,Movement,Rest
2014,30.sl.06,slope,7,Movement,Rove
2014,30.sl.06,slope,19,Interaction,Aggression
2014,30.sl.06,slope,7,Movement,Rove
2014,30.sl.06,slope,35,Interaction,Aggression
2014,30.sl.06,slope,10,Movement,Rest
2014,30.sl.06,slope,30,Interaction,Aggression
2014,30.sl.06,slope,5,Movement,Rest
2014,30.sl.06,slope,12,Movement,Rove
2014,30.sl.06,slope,39,Interaction,Aggression
2014,30.sl.07,slope,26,Movement,Rest
2014,30.sl.07,slope,12,Movement,Rove
2014,30.sl.07,slope,32,Interaction,Aggression
2014,30.sl.07,slope,35,Movement,Rest
2014,30.sl.07,slope,22,Movement,Rove
2014,30.sl.07,slope,24,Interaction,Aggression
2014,30.sl.07,slope,29,Movement,Rest
2014,30.sl.08,slope,14,Interaction,Female
2014,30.sl.08,slope,41,Movement,Rove
2014,30.sl.08,slope,19,Movement,Rest
2014,30.sl.08,slope,20,Movement,Rove
2014,30.sl.08,slope,34,Movement,Rest
2014,30.sl.08,slope,32,Movement,Rove
2014,30.sl.08,slope,20,Interaction,Aggression
2013,1001_sl,Slope,4,Movement,Rove
2013,1001_sl,Slope,12,Interaction,Aggression
2013,1001_sl,Slope,5,Movement,Rove
2013,1001_sl,Slope,7,Movement,Rove
2013,1001_sl,Slope,4,Interaction,Female
2013,1001_sl,Slope,2,Interaction,Aggression
2013,1001_sl,Slope,35,Movement,Rove
2013,1001_sl,Slope,1,Interaction,Aggression
2013,1001_sl,Slope,37,Movement,Rove
2013,1001_sl,Slope,3,Interaction,Aggression
2013,1001_sl,Slope,1,Interaction,Aggression
2013,1001_sl,Slope,108,Movement,Rove
2013,1001_sh,Shelf,9,Movement,Rest
2013,1001_sh,Shelf,5,Movement,Rove
2013,1001_sh,Shelf,5,Interaction,Female
2013,1001_sh,Shelf,1,Interaction,Aggression
2013,1001_sh,Shelf,9,Movement,Rove
2013,1001_sh,Shelf,1,Interaction,Aggression
2013,1001_sh,Shelf,58,Movement,Rove
2013,1001_sh,Shelf,19,Movement,Rest
2013,1001_sh,Shelf,4,Interaction,Aggression
2013,1001_sh,Shelf,36,Movement,Rove
